发布平台	图片	网址	内部广告开关(0为关，1为开)	谷歌广告开关(0为关，1为开)
platform	image	url	start_show	admob_show
ios	AdMob	0	0	0
ios	ad_02.jpg	http://itunes.apple.com/cn/app/wo-de-ming-xing-nu-you/id867991770?mt=8	1	0
ios	ad_03.jpg	https://itunes.apple.com/app/combo-hero-nao-li-duan-lian/id987318881?mt=8	1	0
ios	ad_04.jpg	https://itunes.apple.com/app/combo-hero-nao-li-duan-lian/id987318881?mt=8	1	0
ios_admob	AdMob	0	0	1
ios_admob	ad_02.jpg	http://itunes.apple.com/cn/app/wo-de-ming-xing-nu-you/id867991770?mt=8	1	0
ios_admob	ad_03.jpg	https://itunes.apple.com/app/dan-ji-guai-wu-lie-ren-wu/id991724270?mt=8	1	0
ios_admob	ad_04.jpg	https://itunes.apple.com/app/combo-hero-free-mental-exercise/id991724270?mt=8	1	0
ad	AdMob	0	0	0
ad	ad_02.jpg	http://www.wandoujia.com/apps/air.com.lv1.girl	1	0
ad	ad_03.jpg	http://www.wandoujia.com/apps/cc.lv1.combohero	1	0
ad	ad_04.jpg	http://www.wandoujia.com/apps/air.com.lv1.comic	1	0
ad_admob	AdMob	0	0	1
ad_admob	ad_02.jpg	https://play.google.com/store/apps/details?id=cc.lv1.combohero.google	1	0
ad_admob	ad_03.jpg	https://play.google.com/store/apps/details?id=cc.lv1.combohero.google	1	0
ad_admob	ad_04.jpg	https://play.google.com/store/apps/details?id=cc.lv1.combohero.google	1	0
